id,addr,place,class,type,call,lat,lng
0,서울특별시 종로구 사직로 125,경복궁역 4번출구 지하철역 입구,가로쓰레기통,일반쓰레기,,,
1,서울특별시 종로구 사직로 125,경복궁역 4번출구 지하철역 입구,가로쓰레기통,재활용쓰레기,,,
2,서울특별시 종로구 자하문로 28 ,스타벅스 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
3,서울특별시 종로구 자하문로 28,스타벅스 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
4,서울특별시 종로구 자하문로 44,라파리나 카페 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
5,서울특별시 종로구 자하문로 44,라파리나 카페 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
6,서울특별시 종로구 자하문로 68 ,평화제과 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
7,서울특별시 종로구 자하문로 68 ,평화제과 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
8,서울특별시 종로구 자하문로 13-2 ,경복궁역 2번출구방면 뉴욕버거 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
9,서울특별시 종로구 자하문로 13-2 ,경복궁역 3번출구방면 뉴욕버거 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
10,서울특별시 종로구 효자로 13길 45,청와대 사랑채 분수대 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
11,서울특별시 종로구 효자로 13길 45,청와대 사랑채 분수대 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
12,서울특별시 종로구 사직동 1-28,버스정류장(01-1113) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
13,서울특별시 종로구 사직동 1-28,버스정류장(01-1113) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
14,서울특별시 종로구 자하문로1길 12,털보집 앞 상가지역,가로쓰레기통,일반쓰레기,,,
15,서울특별시 종로구 자하문로1길 50-1,더삼겹 185 앞 상가지역,가로쓰레기통,일반쓰레기,,,
16,서울특별시 종로구 자하문로1길 34,넘버원양꼬치 앞  상가지역,가로쓰레기통,일반쓰레기,,,
17,서울특별시 종로구 자하문로1길 49-4,해태상회 앞 상가지역,가로쓰레기통,일반쓰레기,,,
18,서울특별시 종로구 청운동 129,호호당 앞 상가지역,가로쓰레기통,일반쓰레기,,,
19,서울특별시 종로구 대학로 135,명륜포차 앞 대로변 상가지역,가로쓰레기통,일반쓰레기,,,
20,서울특별시 종로구 대학로 122 ,탑텐 대학로점 앞 대로변 상가지역,가로쓰레기통,일반쓰레기,,,
21,서울특별시 종로구 대학로 116,스타벅스 앞 상가지역,가로쓰레기통,일반쓰레기,,,
22,서울특별시 종로구 이화장 1길 20,종로노인종합복지관 뒷편 상가지역,가로쓰레기통,일반쓰레기,,,
23,서울특별시 종로구 자하문로1길 3-1,세종마을 음식문화거리 부근 상가지역,가로쓰레기통,일반쓰레기,,,
24,서울특별시 종로구 자하문로1길 5,세종마을 음식문화거리 부근 상가지역,가로쓰레기통,일반쓰레기,,,
25,서울특별시 종로구 자하문로1길 3,세종마을 음식문화거리 부근 상가지역,가로쓰레기통,일반쓰레기,,,
26,서울특별시 종로구 자하문로 39,형제마켓 앞 상가지역,가로쓰레기통,일반쓰레기,,,
27,서울특별시 종로구 자하문로 1길 32,서촌 친구네 앞 상가지역,가로쓰레기통,일반쓰레기,,,
28,서울특별시 종로구 자하문로1길 32,서촌 친구네 앞 상가지역,가로쓰레기통,재활용쓰레기,,,
29,서울특별시 종로구 필운대로 9-2,도로변 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
30,서울특별시 종로구 통일로16길 3,상가대로변 상가지역,가로쓰레기통,일반쓰레기,,,
31,서울특별시 종로구 사직로8길 4,버스정류장(01-1128) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
32,서울특별시 종로구 사직로8길 4,버스정류장(01-1129) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
33,서울특별시 종로구 새문안로 82 ,에스타워 앞  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
34,서울특별시 종로구 새문안로 82,에스타워 앞  도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
35,서울특별시 종로구 신문로1가 141,광화문 버스정류장 앞 (01-009) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
36,서울특별시 종로구 신문로1가 141,광화문 버스정류장 앞 (01-009) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
37,서울특별시 종로구 청계천로 1,채널A 본사 앞  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
38,서울특별시 종로구 청게천로 1,채널A 본사 앞  도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
39,서울특별시 종로구 종로 14 ,한국무역공사 빌딩 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
40,서울특별시 종로구 종로 30-1,종로분식 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
41,서울특별시 종로구 종로 30-1 ,종로분식 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
42,서울특별시 종로구 종로1가 54,종로1가 버스정류장(01-012) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
43,서울특별시 종로구 종로1가 54,종로1가 버스정류장(01-012) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
44,서울특별시 종로구 종로1가 82-2,종로1가 버스정류장(01-011) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
45,서울특별시 종로구 종로1가 82-2,종로1가 버스정류장(01-011) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
46,서울특별시 종로구 종로1길 50,더 케이트윈타워 대로변앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
47,서울특별시 종로구 종로1길 50,더 케이트윈타워 대로변앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
48,서울특별시 종로구 종로 5길 103,세븐일레븐 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
49,서울특별시 종로구 종로 103,세븐일레븐 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
50,서울특별시 종로구 종로 44길 80,수족관거리 시스페이스 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
51,서울특별시 종로구 종로 44길 81,수족관거리 시스페이스 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
52,서울특별시 종로구 종로2가 15-1,종로2가 버스정류장(01-014) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
53,서울특별시 종로구 종로2가 15-2,종로2가 버스정류장(01-014) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
54,서울특별시 종로구 종로 104,YBM 종로3가 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
55,서울특별시 종로구 종로 104,YBM 종로4가 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
56,서울특별시 종로구 종로 51 ,종각교차로 앞  도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
57,서울특별시 종로구 종로2가 15-1,종로2가 버스정류장(01-015) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
58,서울특별시 종로구 종로2가 15-1,종로2가 버스정류장(01-015) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
59,서울특별시 종로구 종로 73,CU 종각쇼핑센터 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
60,서울특별시 종로구 종로 74,영안빌딩 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
61,서울특별시 종로구 종로 83,귀금속 도매상가 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
62,서울특별시 종로구 종로 83,귀금속 도매상가 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
63,서울특별시 종로구 인사동길 1,남인사마당 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
64,서울특별시 종로구 인사동길 1 ,남인사마당 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
65,서울특별시 종로구 율곡로 46 ,종로경찰서 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
66,서울특별시 종로구 율곡로 46,종로경찰서 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
67,서울특별시 종로구 삼일대로 467,서울노인복지센터 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
68,서울특별시 종로구 삼일대로 467,서울노인복지센터 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
69,서울특별시 종로구 종로1가 1-3,광화문 버스정류소(01-010) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,,,
70,서울특별시 종로구 종로1가 1-3,광화문 버스정류소(01-010) 정류소(버스/택시 등),가로쓰레기통,재활용쓰레기,,,
71,서울특별시 종로구 세종대로 178 , KT광화문지사 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
72,서울특별시 종로구 세종대로 178 , KT광화문지사 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
73,서울특별시 종로구 종로1길 42-1,세븐일레븐 세종로점 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
74,서울특별시 종로구 종로1길 42,이마빌딩 앞  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
75,서울특별시 종로구 종로1길 42,이마빌딩 앞  도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
76,서울특별시 종로구 세종대로 175 세종문화회관,세종문화회관 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
77,서울특별시 종로구 세종대로 175 세종문화회관,세종문화회관 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,,,
78,서울특별시 종로구 새문안로 5길 ,광화문역 5번출구 지하철역 입구,가로쓰레기통,일반쓰레기,,,
79,서울특별시 종로구 새문안로 5길,광화문역 5번출구 지하철역 입구,가로쓰레기통,재활용쓰레기,,,
80,서울특별시 종로구 새문안로 103-1,삼원온누리약국  도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,,,
