id,addr,lat,lng,place,class,type,call_number
0,서울 종로구 사직로 125,37.5761639891741,126.972854304506,경복궁역 4번출구 지하철역 입구,가로쓰레기통,일반쓰레기,
1,서울 종로구 사직로 125,37.5761639891741,126.972854304506,경복궁역 4번출구 지하철역 입구,가로쓰레기통,재활용쓰레기,
2,서울 종로구 자하문로 28,37.5785670945776,126.971969841012,스타벅스 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
3,서울 종로구 자하문로 28,37.5785670945776,126.971969841012,스타벅스 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,
4,서울 종로구 자하문로 44,37.5799717338378,126.97154998287,라파리나 카페 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
5,서울 종로구 자하문로 44,37.5799717338378,126.97154998287,라파리나 카페 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,
6,서울 종로구 자하문로 68,37.5821007213939,126.970931592059,평화제과 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
7,서울 종로구 자하문로 68,37.5821007213939,126.970931592059,평화제과 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,
8,서울 종로구 자하문로 13-2,37.5773766105744,126.971968136353,경복궁역 2번출구방면 뉴욕버거 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
9,서울 종로구 자하문로 13-2,37.5773766105744,126.971968136353,경복궁역 3번출구방면 뉴욕버거 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,
10,서울 종로구 효자로13길 45,37.582544875368,126.973059283309,청와대 사랑채 분수대 앞 도로변(횡단보도 포함),가로쓰레기통,일반쓰레기,
11,서울 종로구 효자로13길 45,37.582544875368,126.973059283309,청와대 사랑채 분수대 앞 도로변(횡단보도 포함),가로쓰레기통,재활용쓰레기,
12,서울 종로구 사직동 1-28,37.575936511748,126.967263789945,버스정류장(01-1113) 정류소(버스/택시 등),가로쓰레기통,일반쓰레기,
